s,X,Y,phi,U,V
9.990000,-0.890000,1.300000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.340000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.890000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.060000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.100000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.140000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.180000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.220000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.260000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.300000,0.000001,0.000000,0.000000
9.990000,-0.870000,0.340000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.380000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.420000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.460000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.500000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.540000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.580000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.620000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.660000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.700000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.740000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.780000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.820000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.860000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.900000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.940000,0.000000,0.000000,0.000000
9.990000,-0.870000,0.980000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.020000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.060000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.100000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.140000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.180000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.220000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.260000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.300000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.340000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.870000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.060000,0.000002,0.000000,0.000000
9.990000,-0.850000,0.100000,0.000002,0.000000,0.000000
9.990000,-0.850000,0.140000,0.000002,0.000000,0.000000
9.990000,-0.850000,0.180000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.220000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.260000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.300000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.340000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.380000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.420000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.460000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.500000,0.000001,0.000000,0.000000
9.990000,-0.850000,0.540000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.580000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.620000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.660000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.700000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.740000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.780000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.820000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.860000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.900000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.940000,0.000000,0.000000,0.000000
9.990000,-0.850000,0.980000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.020000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.060000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.100000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.140000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.180000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.220000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.260000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.300000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.340000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.850000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.060000,0.000004,0.000000,0.000000
9.990000,-0.830000,0.100000,0.000003,0.000000,0.000000
9.990000,-0.830000,0.140000,0.000003,0.000000,0.000000
9.990000,-0.830000,0.180000,0.000003,0.000000,0.000000
9.990000,-0.830000,0.220000,0.000003,0.000000,0.000000
9.990000,-0.830000,0.260000,0.000003,0.000000,0.000000
9.990000,-0.830000,0.300000,0.000002,0.000000,0.000000
9.990000,-0.830000,0.340000,0.000002,0.000000,0.000000
9.990000,-0.830000,0.380000,0.000002,0.000000,0.000000
9.990000,-0.830000,0.420000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.460000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.500000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.540000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.580000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.620000,0.000001,0.000000,0.000000
9.990000,-0.830000,0.660000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.700000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.740000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.780000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.820000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.860000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.900000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.940000,0.000000,0.000000,0.000000
9.990000,-0.830000,0.980000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.020000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.060000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.100000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.140000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.180000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.220000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.260000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.300000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.340000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.830000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.060000,0.000008,0.000000,0.000000
9.990000,-0.810000,0.100000,0.000008,0.000000,0.000000
9.990000,-0.810000,0.140000,0.000007,0.000000,0.000000
9.990000,-0.810000,0.180000,0.000007,0.000000,0.000000
9.990000,-0.810000,0.220000,0.000006,0.000000,0.000000
9.990000,-0.810000,0.260000,0.000005,0.000000,0.000000
9.990000,-0.810000,0.300000,0.000005,0.000000,0.000000
9.990000,-0.810000,0.340000,0.000004,0.000000,0.000000
9.990000,-0.810000,0.380000,0.000004,0.000000,0.000000
9.990000,-0.810000,0.420000,0.000003,0.000000,0.000000
9.990000,-0.810000,0.460000,0.000002,0.000000,0.000000
9.990000,-0.810000,0.500000,0.000002,0.000000,0.000000
9.990000,-0.810000,0.540000,0.000002,0.000000,0.000000
9.990000,-0.810000,0.580000,0.000001,0.000000,0.000000
9.990000,-0.810000,0.620000,0.000001,0.000000,0.000000
9.990000,-0.810000,0.660000,0.000001,0.000000,0.000000
9.990000,-0.810000,0.700000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.740000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.780000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.820000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.860000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.900000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.940000,0.000000,0.000000,0.000000
9.990000,-0.810000,0.980000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.020000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.060000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.100000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.140000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.180000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.220000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.260000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.300000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.340000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.810000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.790000,0.060000,0.000018,0.000000,0.000000
9.990000,-0.790000,0.100000,0.000017,0.000000,0.000000
9.990000,-0.790000,0.140000,0.000016,0.000000,0.000000
9.990000,-0.790000,0.180000,0.000015,0.000000,0.000000
9.990000,-0.790000,0.220000,0.000013,0.000000,0.000000
9.990000,-0.790000,0.260000,0.000012,0.000000,0.000000
9.990000,-0.790000,0.300000,0.000010,0.000000,0.000000
9.990000,-0.790000,0.340000,0.000008,0.000000,0.000000
9.990000,-0.790000,0.380000,0.000007,0.000000,0.000000
9.990000,-0.790000,0.420000,0.000006,0.000000,0.000000
9.990000,-0.790000,0.460000,0.000005,0.000000,0.000000
9.990000,-0.790000,0.500000,0.000004,0.000000,0.000000
9.990000,-0.790000,0.540000,0.000003,0.000000,0.000000
9.990000,-0.790000,0.580000,0.000002,0.000000,0.000000
9.990000,-0.790000,0.620000,0.000002,0.000000,0.000000
9.990000,-0.790000,0.660000,0.000001,0.000000,0.000000
9.990000,-0.790000,0.700000,0.000001,0.000000,0.000000
9.990000,-0.790000,0.740000,0.000000,0.000000,0.000000
